2025-04-05, 1001, Laura Herrera DNI 33114523, SENCILLA, Miguel Torcuato, 14, 140000, MEDIA
2025-04-28, 2463, Pedro Sosa DNI 37840516, SENCILLA, Miguel Torcuato, 10, 100000, MEDIA
2025-02-24, 2464, Marcos Gomez DNI 34110412, SUITE, Miguel Torcuato, 11, 330000, ALTA
2025-09-09, 2465, Marcos Fernandez DNI 27998944, SENCILLA, Miguel Torcuato, 9, 90000, BAJA
2025-04-28, 2466, Lucia Mendez DNI 38909375, SUITE, Miguel Torcuato, 4, 120000, MEDIA
2025-05-27, 2467, Ana Mendez DNI 15369127, SUITE, Miguel Torcuato, 8, 240000, ALTA
2025-10-12, 2468, Diego Mendez DNI 43893536, SENCILLA, Miguel Torcuato, 12, 120000, MEDIA
2025-04-04, 2469, Juan Perez DNI 30984837, SUITE, Miguel Torcuato, 4, 120000, MEDIA
2025-08-02, 2470, Lucia Fernandez DNI 30494460, SENCILLA, Miguel Torcuato, 12, 120000, MEDIA
2025-10-12, 2471, Diego Herrera DNI 22158095, SUITE, Miguel Torcuato, 3, 90000, BAJA
2025-04-09, 2472, Diego Diaz DNI 23422145, SENCILLA, Miguel Torcuato, 13, 130000, MEDIA
2025-08-18, 2473, Sofia Torres DNI 19114658, SUITE, Miguel Torcuato, 8, 240000, ALTA
2025-02-07, 2474, Valentina Sosa DNI 48280083, DOBLE, Miguel Torcuato, 6, 108000, MEDIA
2025-01-14, 2475, Sofia Ruiz DNI 28760157, SUITE, Miguel Torcuato, 15, 450000, ALTA
2025-10-23, 2476, Pedro Ruiz DNI 12440263, SENCILLA, Miguel Torcuato, 1, 10000, BAJA
2025-01-26, 2477, Ana Fernandez DNI 24996681, SENCILLA, Miguel Torcuato, 10, 100000, MEDIA
2025-12-21, 2478, Juan Torres DNI 40070967, DOBLE, Miguel Torcuato, 2, 36000, BAJA
2025-01-18, 2479, Pedro Lopez DNI 38398423, DOBLE, Miguel Torcuato, 8, 144000, MEDIA
2025-06-10, 2480, Ana Torres DNI 44502893, SUITE, Miguel Torcuato, 1, 30000, BAJA
2025-06-07, 2481, Valentina Mendez DNI 48138292, SENCILLA, Miguel Torcuato, 13, 130000, MEDIA
2025-06-12, 2482, Pedro Sosa DNI 24893698, DOBLE, Miguel Torcuato, 5, 90000, BAJA
2025-06-01, 2483, Sofia Torres DNI 34187569, DOBLE, Miguel Torcuato, 15, 270000, ALTA
2025-07-05, 2484, Laura Gomez DNI 45823541, SENCILLA, Miguel Torcuato, 1, 10000, BAJA
2025-06-19, 2485, Marcos Gomez DNI 12376564, SUITE, Miguel Torcuato, 4, 120000, MEDIA
2025-03-25, 2486, Pedro Ruiz DNI 45023753, DOBLE, Miguel Torcuato, 9, 162000, MEDIA
2025-09-17, 2487, Carlos Diaz DNI 19730686, SUITE, Miguel Torcuato, 7, 210000, ALTA
2025-04-19, 2488, Juan Perez DNI 41628909, SUITE, Miguel Torcuato, 2, 60000, BAJA
2025-04-19, 2489, Juan Gomez DNI 15312366, SENCILLA, Miguel Torcuato, 2, 20000, BAJA
2025-11-22, 2490, Marcos Fernandez DNI 24643343, SENCILLA, Miguel Torcuato, 13, 130000, MEDIA
2025-02-17, 2491, Lucia Fernandez DNI 11454396, SUITE, Miguel Torcuato, 3, 90000, BAJA
2025-12-27, 2492, Marcos Gomez DNI 18874693, DOBLE, Miguel Torcuato, 14, 252000, ALTA
2025-12-05, 2493, Carlos Perez DNI 44282303, SUITE, Miguel Torcuato, 4, 120000, MEDIA
2025-11-10, 2494, Lucia Ruiz DNI 45343223, SENCILLA, Miguel Torcuato, 14, 140000, MEDIA
2025-11-24, 2495, Marcos Mendez DNI 19432150, SENCILLA, Miguel Torcuato, 3, 30000, BAJA
2025-05-23, 2496, Lucia Diaz DNI 18671201, SUITE, Miguel Torcuato, 11, 330000, ALTA
2025-12-27, 2497, Carlos Ruiz DNI 26366550, SENCILLA, Miguel Torcuato, 5, 50000, BAJA
2025-05-17, 2498, Laura Ruiz DNI 13319940, SUITE, Miguel Torcuato, 6, 180000, MEDIA
2025-03-07, 2499, Carlos Perez DNI 17493626, SENCILLA, Miguel Torcuato, 11, 110000, MEDIA
2025-03-25, 2500, Ana Herrera DNI 10481214, DOBLE, Miguel Torcuato, 10, 180000, MEDIA
2025-08-13, 2501, Lucia Ruiz DNI 33029616, SUITE, Miguel Torcuato, 8, 240000, ALTA
2025-09-01, 2502, Juan Sosa DNI 23954713, SUITE, Miguel Torcuato, 11, 330000, ALTA
2025-06-13, 2503, Carlos Perez DNI 14646126, DOBLE, Miguel Torcuato, 13, 234000, ALTA
2025-02-23, 2504, Sofia Perez DNI 32812750, DOBLE, Miguel Torcuato, 1, 18000, BAJA
2025-08-07, 2505, Juan Diaz DNI 23686913, DOBLE, Miguel Torcuato, 13, 234000, ALTA
2025-05-13, 2506, Carlos Sosa DNI 12013574, SENCILLA, Miguel Torcuato, 11, 110000, MEDIA
2025-01-24, 2507, Pedro Perez DNI 15307238, SENCILLA, Miguel Torcuato, 1, 10000, BAJA
2025-05-22, 2508, Lucia Herrera DNI 49104268, DOBLE, Miguel Torcuato, 2, 36000, BAJA
2025-01-26, 2509, Ana Lopez DNI 38800041, SENCILLA, Miguel Torcuato, 5, 50000, BAJA
2025-12-14, 2510, Sofia Fernandez DNI 33346258, SUITE, Miguel Torcuato, 11, 330000, ALTA
2025-04-06, 2511, Ana Diaz DNI 20569701, SENCILLA, Miguel Torcuato, 5, 50000, BAJA
2025-06-15, 2512, Carlos Sosa DNI 38216444, SUITE, Miguel Torcuato, 9, 270000, ALTA
2025-07-13, 2513, Juan Lopez DNI 13316883, DOBLE, Miguel Torcuato, 10, 180000, MEDIA
2025-01-17, 2514, Juan Torres DNI 45310589, SUITE, Miguel Torcuato, 13, 390000, ALTA
2025-07-18, 2515, Pedro Herrera DNI 36258377, SENCILLA, Miguel Torcuato, 8, 80000, BAJA
2025-04-08, 2516, Valentina Ruiz DNI 43092483, DOBLE, Miguel Torcuato, 13, 234000, ALTA
2025-01-02, 2517, Diego Gomez DNI 27033410, SUITE, Miguel Torcuato, 15, 450000, ALTA
2025-11-17, 2518, Ana Sosa DNI 19044484, DOBLE, Miguel Torcuato, 4, 72000, BAJA
2025-10-01, 2519, Laura Gomez DNI 32043396, SENCILLA, Miguel Torcuato, 1, 10000, BAJA
2025-08-03, 2520, Carlos Ruiz DNI 15868181, DOBLE, Miguel Torcuato, 2, 36000, BAJA
2025-03-01, 2521, Ana Torres DNI 17619061, SENCILLA, Miguel Torcuato, 14, 140000, MEDIA
2025-11-01, 2522, Juan Diaz DNI 44799058, SUITE, Miguel Torcuato, 12, 360000, ALTA
2025-08-21, 2523, Juan Gomez DNI 30942255, DOBLE, Miguel Torcuato, 13, 234000, ALTA
2025-12-11, 2524, Pedro Mendez DNI 25195957, SUITE, Miguel Torcuato, 11, 330000, ALTA
2025-12-16, 2525, Diego Gomez DNI 19798389, DOBLE, Miguel Torcuato, 13, 234000, ALTA
2025-05-09, 2526, Lucia Perez DNI 13220811, SUITE, Miguel Torcuato, 3, 90000, BAJA
2025-05-10, 2527, Sofia Herrera DNI 34637726, DOBLE, Miguel Torcuato, 3, 54000, BAJA
2025-03-26, 2528, Laura Mendez DNI 37916657, SENCILLA, Miguel Torcuato, 6, 60000, BAJA
2025-03-07, 2529, Juan Perez DNI 46232977, SUITE, Miguel Torcuato, 3, 90000, BAJA
2025-05-19, 2530, Sofia Gomez DNI 42736848, SUITE, Miguel Torcuato, 1, 30000, BAJA
2025-08-25, 2531, Laura Torres DNI 46875132, SENCILLA, Miguel Torcuato, 5, 50000, BAJA
2025-02-03, 2532, Ana Lopez DNI 13318770, SENCILLA, Miguel Torcuato, 1, 10000, BAJA
2025-03-19, 2533, Pedro Lopez DNI 28713227, SUITE, Miguel Torcuato, 6, 180000, MEDIA
2025-08-25, 2534, Ana Diaz DNI 22179689, SENCILLA, Miguel Torcuato, 12, 120000, MEDIA
2025-01-07, 2535, Juan Herrera DNI 12356879, SENCILLA, Miguel Torcuato, 12, 120000, MEDIA
2025-03-07, 2536, Diego Perez DNI 31130164, SUITE, Miguel Torcuato, 6, 180000, MEDIA
2025-12-27, 2537, Carlos Herrera DNI 10894247, SENCILLA, Miguel Torcuato, 5, 50000, BAJA
2025-03-09, 2538, Carlos Torres DNI 48217223, SENCILLA, Miguel Torcuato, 5, 50000, BAJA
2025-11-18, 2539, Marcos Diaz DNI 12696078, DOBLE, Miguel Torcuato, 2, 36000, BAJA
2025-12-20, 2540, Carlos Mendez DNI 13925344, DOBLE, Miguel Torcuato, 15, 270000, ALTA
2025-11-23, 2541, Ana Perez DNI 21381467, SENCILLA, Miguel Torcuato, 4, 40000, BAJA
2025-06-17, 2542, Lucia Mendez DNI 45301611, SUITE, Miguel Torcuato, 14, 420000, ALTA
2025-10-19, 2543, Sofia Gomez DNI 20672166, DOBLE, Miguel Torcuato, 12, 216000, ALTA
2025-06-10, 2544, Marcos Gomez DNI 18923708, SUITE, Miguel Torcuato, 2, 60000, BAJA
2025-04-28, 2545, Lucia Lopez DNI 29663001, SUITE, Miguel Torcuato, 15, 450000, ALTA
2025-05-19, 2546, Ana Sosa DNI 13093807, DOBLE, Miguel Torcuato, 8, 144000, MEDIA
2025-07-03, 2547, Sofia Perez DNI 31050005, DOBLE, Miguel Torcuato, 3, 54000, BAJA
2025-07-04, 2548, Lucia Fernandez DNI 14518083, SUITE, Miguel Torcuato, 13, 390000, ALTA
2025-06-08, 2549, Sofia Lopez DNI 43337153, DOBLE, Miguel Torcuato, 10, 180000, MEDIA
2025-11-24, 2550, Pedro Ruiz DNI 26692072, SENCILLA, Miguel Torcuato, 6, 60000, BAJA
2025-07-13, 2551, Juan Ruiz DNI 21232999, SENCILLA, Miguel Torcuato, 15, 150000, MEDIA
2025-08-18, 2552, Juan Lopez DNI 49762655, SENCILLA, Miguel Torcuato, 5, 50000, BAJA
2025-09-26, 2553, Laura Gomez DNI 47854892, SUITE, Miguel Torcuato, 7, 210000, ALTA
2025-02-14, 2554, Valentina Perez DNI 29752045, DOBLE, Miguel Torcuato, 14, 252000, ALTA
2025-01-18, 2555, Pedro Ruiz DNI 33548756, DOBLE, Miguel Torcuato, 2, 36000, BAJA
2025-05-24, 2556, Ana Herrera DNI 36535351, SUITE, Miguel Torcuato, 12, 360000, ALTA
2025-04-05, 2557, Diego Lopez DNI 30093658, SENCILLA, Miguel Torcuato, 2, 20000, BAJA
2025-07-10, 2558, Juan Diaz DNI 23416768, SUITE, Miguel Torcuato, 13, 390000, ALTA
2025-04-12, 2559, Sofia Lopez DNI 23950915, SUITE, Miguel Torcuato, 2, 60000, BAJA
2025-01-14, 2560, Lucia Diaz DNI 37216686, SENCILLA, Miguel Torcuato, 11, 110000, MEDIA
2025-09-02, 2561, Juan Lopez DNI 20037572, DOBLE, Miguel Torcuato, 13, 234000, ALTA
2025-03-10, 2562, Carlos Diaz DNI 22863887, SENCILLA, Miguel Torcuato, 10, 100000, MEDIA
2025-01-19, 2563, Juan Torres DNI 48329952, DOBLE, Miguel Torcuato, 7, 126000, MEDIA
2025-10-08, 2564, Diego Mendez DNI 35738633, DOBLE, Miguel Torcuato, 4, 72000, BAJA
2025-08-18, 2565, Marcos Herrera DNI 19812176, DOBLE, Miguel Torcuato, 3, 54000, BAJA
2025-11-01, 2566, Diego Perez DNI 48629326, DOBLE, Miguel Torcuato, 10, 180000, MEDIA
2025-05-10, 2567, Juan Lopez DNI 28627002, DOBLE, Miguel Torcuato, 11, 198000, MEDIA
2025-01-07, 2568, Valentina Perez DNI 12496543, DOBLE, Miguel Torcuato, 4, 72000, BAJA
2025-05-05, 2569, Carlos Ruiz DNI 34255628, SENCILLA, Miguel Torcuato, 9, 90000, BAJA
2025-03-19, 2570, Ana Gomez DNI 30477094, SENCILLA, Miguel Torcuato, 1, 10000, BAJA
2025-10-28, 2571, Pedro Torres DNI 20027932, DOBLE, Miguel Torcuato, 7, 126000, MEDIA
2025-06-01, 2572, Laura Mendez DNI 10488081, DOBLE, Miguel Torcuato, 1, 18000, BAJA
2025-09-08, 2573, Carlos Gomez DNI 35372025, SUITE, Miguel Torcuato, 15, 450000, ALTA
2025-01-02, 2574, Pedro Diaz DNI 26754929, SENCILLA, Miguel Torcuato, 13, 130000, MEDIA
2025-07-18, 2575, Carlos Perez DNI 42370121, DOBLE, Miguel Torcuato, 11, 198000, MEDIA
2025-04-18, 2576, Valentina Mendez DNI 20399534, SUITE, Miguel Torcuato, 5, 150000, MEDIA
2025-01-04, 2577, Juan Mendez DNI 16659075, SENCILLA, Miguel Torcuato, 10, 100000, MEDIA
2025-07-10, 2578, Juan Torres DNI 41380135, SENCILLA, Miguel Torcuato, 14, 140000, MEDIA
2025-09-23, 2579, Sofia Ruiz DNI 29028979, SENCILLA, Miguel Torcuato, 14, 140000, MEDIA
2025-11-23, 2580, Carlos Herrera DNI 11858260, SENCILLA, Miguel Torcuato, 2, 20000, BAJA
2025-01-28, 2581, Ana Herrera DNI 33977012, SENCILLA, Miguel Torcuato, 13, 130000, MEDIA
2025-12-10, 2582, Marcos Perez DNI 44752707, DOBLE, Miguel Torcuato, 14, 252000, ALTA
2025-04-15, 2583, Juan Gomez DNI 27052915, DOBLE, Miguel Torcuato, 12, 216000, ALTA
2025-02-26, 2584, Juan Lopez DNI 36582896, SENCILLA, Miguel Torcuato, 10, 100000, MEDIA
2025-06-27, 2585, Carlos Sosa DNI 19601117, SENCILLA, Miguel Torcuato, 13, 130000, MEDIA
2025-01-19, 2586, Marcos Ruiz DNI 42769028, SUITE, Miguel Torcuato, 8, 240000, ALTA
2025-02-07, 2587, Diego Herrera DNI 34839249, SUITE, Miguel Torcuato, 5, 150000, MEDIA
2025-07-18, 2588, Carlos Sosa DNI 19662415, SENCILLA, Miguel Torcuato, 12, 120000, MEDIA
2025-06-02, 2589, Juan Fernandez DNI 37967987, SENCILLA, Miguel Torcuato, 15, 150000, MEDIA
2025-04-12, 2590, Diego Herrera DNI 12297666, SUITE, Miguel Torcuato, 6, 180000, MEDIA
2025-08-17, 2591, Laura Torres DNI 34665592, SUITE, Miguel Torcuato, 2, 60000, BAJA
2025-04-28, 2592, Pedro Ruiz DNI 25515642, SENCILLA, Miguel Torcuato, 11, 110000, MEDIA
2025-10-01, 2593, Laura Herrera DNI 16160784, SENCILLA, Miguel Torcuato, 9, 90000, BAJA
2025-09-23, 2594, Laura Perez DNI 47842275, DOBLE, Miguel Torcuato, 6, 108000, MEDIA
2025-11-16, 2595, Carlos Torres DNI 15866496, DOBLE, Miguel Torcuato, 12, 216000, ALTA
2025-07-07, 2596, Juan Diaz DNI 20717763, SENCILLA, Miguel Torcuato, 11, 110000, MEDIA
2025-11-20, 2597, Valentina Mendez DNI 20116622, SUITE, Miguel Torcuato, 3, 90000, BAJA
2025-03-09, 2598, Juan Mendez DNI 27023222, DOBLE, Miguel Torcuato, 2, 36000, BAJA
2025-07-19, 2599, Juan Diaz DNI 46106396, SUITE, Miguel Torcuato, 12, 360000, ALTA
2025-03-16, 2600, Valentina Diaz DNI 11832170, SENCILLA, Miguel Torcuato, 3, 30000, BAJA
2025-08-20, 2601, Laura Herrera DNI 37628231, DOBLE, Miguel Torcuato, 10, 180000, MEDIA
2025-10-17, 2602, Valentina Diaz DNI 33189860, DOBLE, Miguel Torcuato, 1, 18000, BAJA
2025-10-17, 2603, Lucia Perez DNI 20923563, DOBLE, Miguel Torcuato, 9, 162000, MEDIA
2025-03-25, 2604, Juan Lopez DNI 17541341, DOBLE, Miguel Torcuato, 5, 90000, BAJA
2025-01-07, 2605, Carlos Fernandez DNI 19805040, SUITE, Miguel Torcuato, 9, 270000, ALTA
2025-12-16, 2606, Marcos Fernandez DNI 18589253, SENCILLA, Miguel Torcuato, 9, 90000, BAJA
2025-02-18, 2607, Valentina Sosa DNI 15072740, SUITE, Miguel Torcuato, 6, 180000, MEDIA
2025-07-04, 2608, Marcos Lopez DNI 26335912, SUITE, Miguel Torcuato, 2, 60000, BAJA
2025-09-28, 2609, Laura Lopez DNI 22809244, SUITE, Miguel Torcuato, 9, 270000, ALTA
2025-06-17, 2610, Juan Ruiz DNI 35870174, SUITE, Miguel Torcuato, 11, 330000, ALTA
2025-12-17, 2611, Juan Gomez DNI 39775777, DOBLE, Miguel Torcuato, 15, 270000, ALTA
2025-05-21, 2612, Lucia Fernandez DNI 25702131, DOBLE, Miguel Torcuato, 10, 180000, MEDIA
2025-04-20, 2613, Marcos Mendez DNI 46744661, SUITE, Miguel Torcuato, 6, 180000, MEDIA
2025-05-03, 2614, Carlos Gomez DNI 27386925, SENCILLA, Miguel Torcuato, 9, 90000, BAJA
2025-09-14, 2615, Diego Ruiz DNI 34178517, SUITE, Miguel Torcuato, 14, 420000, ALTA
2025-06-28, 2616, Carlos Perez DNI 26534057, SUITE, Miguel Torcuato, 2, 60000, BAJA
2025-08-22, 2617, Diego Torres DNI 34356957, SUITE, Miguel Torcuato, 6, 180000, MEDIA
2025-02-12, 2618, Marcos Lopez DNI 18553510, SUITE, Miguel Torcuato, 13, 390000, ALTA
2025-08-07, 2619, Lucia Diaz DNI 49263378, SUITE, Miguel Torcuato, 7, 210000, ALTA
2025-06-17, 2620, Sofia Sosa DNI 33862723, DOBLE, Miguel Torcuato, 1, 18000, BAJA
2025-09-22, 2621, Sofia Lopez DNI 24796264, SENCILLA, Miguel Torcuato, 3, 30000, BAJA
2025-09-04, 2622, Marcos Torres DNI 21042623, SUITE, Miguel Torcuato, 3, 90000, BAJA
2025-08-01, 2623, Ana Diaz DNI 30095988, DOBLE, Miguel Torcuato, 5, 90000, BAJA
2025-05-05, 2624, Marcos Ruiz DNI 44669539, DOBLE, Miguel Torcuato, 11, 198000, MEDIA
2025-06-18, 2625, Lucia Diaz DNI 44124899, SENCILLA, Miguel Torcuato, 14, 140000, MEDIA
2025-09-10, 2626, Ana Fernandez DNI 31414129, SENCILLA, Miguel Torcuato, 8, 80000, BAJA
2025-07-09, 2627, Pedro Lopez DNI 15689050, SUITE, Miguel Torcuato, 15, 450000, ALTA
2025-03-04, 2628, Pedro Herrera DNI 43828418, SENCILLA, Miguel Torcuato, 15, 150000, MEDIA
2025-02-24, 2629, Sofia Torres DNI 36173620, SUITE, Miguel Torcuato, 9, 270000, ALTA
2025-04-14, 2630, Carlos Diaz DNI 40146529, SENCILLA, Miguel Torcuato, 5, 50000, BAJA
2025-01-08, 2631, Valentina Ruiz DNI 34824831, SUITE, Miguel Torcuato, 5, 150000, MEDIA
2025-06-16, 2632, Diego Fernandez DNI 42563753, SUITE, Miguel Torcuato, 7, 210000, ALTA
2025-06-06, 2633, Lucia Sosa DNI 35302711, SUITE, Miguel Torcuato, 1, 30000, BAJA
2025-04-03, 2634, Juan Sosa DNI 17820488, DOBLE, Miguel Torcuato, 10, 180000, MEDIA
2025-08-21, 2635, Valentina Mendez DNI 19527270, SUITE, Miguel Torcuato, 10, 300000, ALTA
2025-05-16, 2636, Valentina Lopez DNI 27130676, SUITE, Miguel Torcuato, 6, 180000, MEDIA
2025-06-16, 2637, Laura Gomez DNI 42452322, SUITE, Miguel Torcuato, 14, 420000, ALTA
2025-03-20, 2638, Diego Herrera DNI 40093358, DOBLE, Miguel Torcuato, 7, 126000, MEDIA
2025-06-27, 2639, Lucia Diaz DNI 12013319, DOBLE, Miguel Torcuato, 12, 216000, ALTA
2025-01-18, 2640, Ana Perez DNI 28679857, SENCILLA, Miguel Torcuato, 14, 140000, MEDIA
2025-05-28, 2641, Marcos Fernandez DNI 31877478, SUITE, Miguel Torcuato, 1, 30000, BAJA
2025-03-03, 2642, Sofia Fernandez DNI 20896813, SUITE, Miguel Torcuato, 14, 420000, ALTA
2025-04-03, 2643, Carlos Ruiz DNI 17765382, SENCILLA, Miguel Torcuato, 6, 60000, BAJA
2025-09-12, 2644, Lucia Sosa DNI 39718819, DOBLE, Miguel Torcuato, 10, 180000, MEDIA
2025-03-25, 2645, Diego Sosa DNI 14510967, SUITE, Miguel Torcuato, 10, 300000, ALTA
2025-11-13, 2646, Diego Torres DNI 12069241, DOBLE, Miguel Torcuato, 1, 18000, BAJA
2025-12-25, 2647, Diego Torres DNI 17793705, SUITE, Miguel Torcuato, 7, 210000, ALTA
2025-09-27, 2648, Carlos Sosa DNI 37732137, SENCILLA, Miguel Torcuato, 13, 130000, MEDIA
2025-02-04, 2649, Juan Sosa DNI 35286445, DOBLE, Miguel Torcuato, 5, 90000, BAJA
2025-05-23, 2650, Sofia Lopez DNI 17627539, DOBLE, Miguel Torcuato, 1, 18000, BAJA
2025-06-09, 2651, Sofia Perez DNI 36836708, DOBLE, Miguel Torcuato, 5, 90000, BAJA
2025-02-21, 2652, Sofia Herrera DNI 30906994, SENCILLA, Miguel Torcuato, 3, 30000, BAJA
2025-08-03, 2653, Ana Mendez DNI 46852753, SUITE, Miguel Torcuato, 9, 270000, ALTA
2025-10-02, 2654, Lucia Gomez DNI 22949347, SUITE, Miguel Torcuato, 11, 330000, ALTA
2025-05-15, 2655, Laura Sosa DNI 49588204, DOBLE, Miguel Torcuato, 7, 126000, MEDIA
2025-11-25, 2656, Laura Herrera DNI 39851534, DOBLE, Miguel Torcuato, 1, 18000, BAJA
2025-05-21, 2657, Marcos Mendez DNI 44935626, SUITE, Miguel Torcuato, 10, 300000, ALTA
2025-10-27, 2658, Diego Mendez DNI 13398524, SENCILLA, Miguel Torcuato, 6, 60000, BAJA
2025-03-17, 2659, Valentina Torres DNI 38905089, SENCILLA, Miguel Torcuato, 7, 70000, BAJA
2025-09-15, 2660, Juan Fernandez DNI 46816802, SUITE, Miguel Torcuato, 13, 390000, ALTA
2025-12-15, 2661, Laura Lopez DNI 45266972, SENCILLA, Miguel Torcuato, 7, 70000, BAJA
2025-09-04, 2662, Pedro Mendez DNI 32773631, SUITE, Miguel Torcuato, 13, 390000, ALTA
2025-06-07, 2663, Laura Torres DNI 46340361, DOBLE, Miguel Torcuato, 9, 162000, MEDIA
2025-02-09, 2664, Valentina Mendez DNI 27325310, SENCILLA, Miguel Torcuato, 1, 10000, BAJA
2025-05-19, 2665, Ana Perez DNI 21973387, SUITE, Miguel Torcuato, 15, 450000, ALTA
2025-07-14, 2666, Carlos Sosa DNI 13301730, SUITE, Miguel Torcuato, 15, 450000, ALTA
2025-11-17, 2667, Carlos Diaz DNI 45160068, SUITE, Miguel Torcuato, 6, 180000, MEDIA
2025-04-17, 2668, Valentina Mendez DNI 34429993, SENCILLA, Miguel Torcuato, 3, 30000, BAJA
2025-10-04, 2669, Ana Ruiz DNI 32549622, SENCILLA, Miguel Torcuato, 9, 90000, BAJA
2025-04-04, 2670, Laura Perez DNI 33940119, DOBLE, Miguel Torcuato, 8, 144000, MEDIA
2025-12-23, 2671, Sofia Gomez DNI 26353090, SENCILLA, Miguel Torcuato, 14, 140000, MEDIA
2025-11-07, 2672, Ana Mendez DNI 16310983, DOBLE, Miguel Torcuato, 8, 144000, MEDIA
2025-06-17, 2673, Carlos Torres DNI 39165301, SUITE, Miguel Torcuato, 13, 390000, ALTA
2025-06-02, 2674, Ana Perez DNI 48941272, SUITE, Miguel Torcuato, 1, 30000, BAJA
2025-11-07, 2675, Sofia Gomez DNI 22800203, DOBLE, Miguel Torcuato, 9, 162000, MEDIA
2025-01-04, 2676, Marcos Lopez DNI 29552321, SUITE, Miguel Torcuato, 8, 240000, ALTA
2025-01-09, 2677, Sofia Perez DNI 22092243, SENCILLA, Miguel Torcuato, 14, 140000, MEDIA
2025-10-19, 2678, Lucia Mendez DNI 36726235, SUITE, Miguel Torcuato, 5, 150000, MEDIA
2025-02-26, 2679, Ana Torres DNI 36223046, SUITE, Miguel Torcuato, 10, 300000, ALTA
2025-12-10, 2680, Sofia Herrera DNI 22492506, SENCILLA, Miguel Torcuato, 8, 80000, BAJA
2025-07-26, 2681, Laura Torres DNI 48466916, DOBLE, Miguel Torcuato, 13, 234000, ALTA
2025-10-28, 2682, Pedro Lopez DNI 33552503, SUITE, Miguel Torcuato, 8, 240000, ALTA
2025-10-27, 2683, Laura Mendez DNI 30549338, SENCILLA, Miguel Torcuato, 12, 120000, MEDIA
2025-03-19, 2684, Valentina Ruiz DNI 22603832, SUITE, Miguel Torcuato, 8, 240000, ALTA
2025-06-10, 2685, Valentina Perez DNI 21086667, SENCILLA, Miguel Torcuato, 10, 100000, MEDIA
2025-09-20, 2686, Pedro Gomez DNI 13600494, SENCILLA, Miguel Torcuato, 12, 120000, MEDIA
2025-09-17, 2687, Diego Lopez DNI 45440437, SUITE, Miguel Torcuato, 13, 390000, ALTA
2025-01-01, 2688, Diego Herrera DNI 27833471, SENCILLA, Miguel Torcuato, 2, 20000, BAJA
2025-04-18, 2689, Marcos Lopez DNI 47697810, SENCILLA, Miguel Torcuato, 4, 40000, BAJA
2025-01-18, 2690, Valentina Herrera DNI 32741089, SENCILLA, Miguel Torcuato, 8, 80000, BAJA
2025-04-07, 2691, Diego Sosa DNI 13717680, DOBLE, Miguel Torcuato, 14, 252000, ALTA
2025-12-04, 2692, Ana Herrera DNI 14463767, SUITE, Miguel Torcuato, 3, 90000, BAJA
2025-01-09, 2693, Carlos Lopez DNI 42252381, SENCILLA, Miguel Torcuato, 12, 120000, MEDIA
2025-03-14, 2694, Juan Perez DNI 48822618, SENCILLA, Miguel Torcuato, 4, 40000, BAJA
2025-12-20, 2695, Diego Mendez DNI 10783770, SUITE, Miguel Torcuato, 9, 270000, ALTA
2025-01-14, 2696, Pedro Fernandez DNI 23182336, SUITE, Miguel Torcuato, 1, 30000, BAJA
2025-08-02, 2697, Valentina Gomez DNI 27587395, DOBLE, Miguel Torcuato, 15, 270000, ALTA
2025-09-12, 2698, Ana Mendez DNI 10925307, SUITE, Miguel Torcuato, 13, 390000, ALTA
2025-08-15, 2699, Diego Mendez DNI 10371863, DOBLE, Miguel Torcuato, 1, 18000, BAJA
2025-02-11, 2700, Laura Herrera DNI 13628121, DOBLE, Miguel Torcuato, 5, 90000, BAJA
2025-12-28, 2701, Diego Lopez DNI 30635970, SUITE, Miguel Torcuato, 5, 150000, MEDIA
2025-02-21, 2702, Marcos Sosa DNI 49297486, SENCILLA, Miguel Torcuato, 6, 60000, BAJA
2025-06-19, 2703, Lucia Torres DNI 29438379, SUITE, Miguel Torcuato, 10, 300000, ALTA
2025-10-27, 2704, Laura Lopez DNI 35694712, SENCILLA, Miguel Torcuato, 15, 150000, MEDIA
2025-12-01, 2705, Diego Herrera DNI 46770134, DOBLE, Miguel Torcuato, 4, 72000, BAJA
2025-03-26, 2706, Sofia Sosa DNI 31048237, DOBLE, Miguel Torcuato, 5, 90000, BAJA
2025-04-13, 2707, Marcos Gomez DNI 12266208, SUITE, Miguel Torcuato, 15, 450000, ALTA
2025-01-05, 2708, Marcos Sosa DNI 39381932, SENCILLA, Miguel Torcuato, 8, 80000, BAJA
2025-08-19, 2709, Pedro Herrera DNI 28258734, SENCILLA, Miguel Torcuato, 14, 140000, MEDIA
2025-02-22, 2710, Marcos Fernandez DNI 22992985, SUITE, Miguel Torcuato, 10, 300000, ALTA
2025-05-07, 2711, Valentina Lopez DNI 28998536, SENCILLA, Miguel Torcuato, 14, 140000, MEDIA
2025-11-02, 2712, Pedro Ruiz DNI 25217304, DOBLE, Miguel Torcuato, 14, 252000, ALTA
2025-11-06, 2713, Marcos Ruiz DNI 43663618, DOBLE, Miguel Torcuato, 1, 18000, BAJA
2025-05-07, 2714, Pedro Torres DNI 20475936, DOBLE, Miguel Torcuato, 15, 270000, ALTA
2025-02-13, 2715, Juan Perez DNI 31318952, DOBLE, Miguel Torcuato, 1, 18000, BAJA
2025-07-26, 2716, Ana Lopez DNI 32519216, SUITE, Miguel Torcuato, 8, 240000, ALTA
