2025-03-08, 1001, Lucia Perez DNI 12447474, SENCILLA, Miguel Torcuato, 4, 40000, BAJA
2025-09-13, 2238, Laura Lopez DNI 18099017, DOBLE, Miguel Torcuato, 6, 108000, MEDIA
2025-02-18, 2239, Juan Fernandez DNI 41198291, SUITE, Miguel Torcuato, 9, 270000, ALTA
2025-05-31, 2240, Ana Torres DNI 11969532, SUITE, Miguel Torcuato, 6, 180000, MEDIA
2025-08-23, 2241, Diego Herrera DNI 16414711, DOBLE, Miguel Torcuato, 1, 18000, BAJA
2025-10-20, 2242, Carlos Mendez DNI 11390753, SENCILLA, Miguel Torcuato, 13, 130000, MEDIA
2025-04-12, 2243, Marcos Fernandez DNI 34483077, SUITE, Miguel Torcuato, 4, 120000, MEDIA
2025-08-07, 2244, Pedro Fernandez DNI 49395393, DOBLE, Miguel Torcuato, 8, 144000, MEDIA
2025-01-19, 2245, Ana Torres DNI 37475889, DOBLE, Miguel Torcuato, 13, 234000, ALTA
2025-06-16, 2246, Pedro Gomez DNI 24492374, SUITE, Miguel Torcuato, 5, 150000, MEDIA
2025-04-07, 2247, Valentina Gomez DNI 23534732, SUITE, Miguel Torcuato, 10, 300000, ALTA
2025-04-12, 2248, Marcos Ruiz DNI 49870693, SUITE, Miguel Torcuato, 4, 120000, MEDIA
2025-12-14, 2249, Marcos Torres DNI 29328868, SENCILLA, Miguel Torcuato, 12, 120000, MEDIA
2025-07-26, 2250, Laura Perez DNI 33560882, DOBLE, Miguel Torcuato, 11, 198000, MEDIA
2025-06-07, 2251, Pedro Fernandez DNI 45317199, SUITE, Miguel Torcuato, 3, 90000, BAJA
2025-05-25, 2252, Diego Ruiz DNI 27446934, SUITE, Miguel Torcuato, 8, 240000, ALTA
2025-06-11, 2253, Ana Ruiz DNI 35938767, DOBLE, Miguel Torcuato, 11, 198000, MEDIA
2025-05-25, 2254, Pedro Lopez DNI 46371060, DOBLE, Miguel Torcuato, 14, 252000, ALTA
2025-09-15, 2255, Lucia Gomez DNI 46624408, SUITE, Miguel Torcuato, 7, 210000, ALTA
2025-06-08, 2256, Diego Mendez DNI 33448787, SUITE, Miguel Torcuato, 9, 270000, ALTA
2025-12-12, 2257, Carlos Gomez DNI 27300470, DOBLE, Miguel Torcuato, 8, 144000, MEDIA
2025-10-30, 2258, Carlos Mendez DNI 15112334, DOBLE, Miguel Torcuato, 10, 180000, MEDIA
2025-03-01, 2259, Juan Fernandez DNI 23228754, SENCILLA, Miguel Torcuato, 13, 130000, MEDIA
2025-12-16, 2260, Diego Perez DNI 18056111, DOBLE, Miguel Torcuato, 15, 270000, ALTA
2025-06-30, 2261, Ana Sosa DNI 37387995, SENCILLA, Miguel Torcuato, 9, 90000, BAJA
2025-03-06, 2262, Diego Mendez DNI 14220386, DOBLE, Miguel Torcuato, 8, 144000, MEDIA
2025-11-28, 2263, Ana Lopez DNI 38772554, SENCILLA, Miguel Torcuato, 4, 40000, BAJA
2025-11-27, 2264, Carlos Lopez DNI 37222797, SUITE, Miguel Torcuato, 12, 360000, ALTA
2025-02-03, 2265, Pedro Fernandez DNI 38881606, DOBLE, Miguel Torcuato, 4, 72000, BAJA
2025-08-11, 2266, Valentina Diaz DNI 37967877, SENCILLA, Miguel Torcuato, 9, 90000, BAJA
2025-09-27, 2267, Laura Sosa DNI 21880047, SENCILLA, Miguel Torcuato, 5, 50000, BAJA
2025-06-03, 2268, Ana Perez DNI 18232163, SUITE, Miguel Torcuato, 5, 150000, MEDIA
2025-10-09, 2269, Carlos Torres DNI 10998783, SENCILLA, Miguel Torcuato, 9, 90000, BAJA
2025-09-09, 2270, Carlos Lopez DNI 20948733, SUITE, Miguel Torcuato, 10, 300000, ALTA
2025-12-19, 2271, Lucia Torres DNI 10577170, SENCILLA, Miguel Torcuato, 1, 10000, BAJA
2025-08-11, 2272, Diego Fernandez DNI 42859257, SUITE, Miguel Torcuato, 15, 450000, ALTA
2025-11-10, 2273, Laura Torres DNI 23043599, DOBLE, Miguel Torcuato, 2, 36000, BAJA
2025-08-26, 2274, Valentina Herrera DNI 33673091, SUITE, Miguel Torcuato, 15, 450000, ALTA
2025-02-04, 2275, Sofia Fernandez DNI 48612263, SENCILLA, Miguel Torcuato, 12, 120000, MEDIA
2025-04-07, 2276, Sofia Mendez DNI 34548263, SENCILLA, Miguel Torcuato, 10, 100000, MEDIA
2025-03-09, 2277, Marcos Mendez DNI 26151939, DOBLE, Miguel Torcuato, 8, 144000, MEDIA
2025-03-04, 2278, Juan Perez DNI 48153922, SENCILLA, Miguel Torcuato, 4, 40000, BAJA
2025-07-29, 2279, Carlos Ruiz DNI 46810755, SUITE, Miguel Torcuato, 2, 60000, BAJA
2025-04-04, 2280, Valentina Torres DNI 13879195, SENCILLA, Miguel Torcuato, 11, 110000, MEDIA
2025-09-05, 2281, Marcos Mendez DNI 41991511, DOBLE, Miguel Torcuato, 14, 252000, ALTA
2025-04-30, 2282, Diego Mendez DNI 38392089, SENCILLA, Miguel Torcuato, 5, 50000, BAJA
2025-11-29, 2283, Lucia Ruiz DNI 24115440, DOBLE, Miguel Torcuato, 11, 198000, MEDIA
2025-10-22, 2284, Valentina Diaz DNI 11771377, SUITE, Miguel Torcuato, 4, 120000, MEDIA
2025-11-05, 2285, Ana Sosa DNI 19291782, DOBLE, Miguel Torcuato, 6, 108000, MEDIA
2025-10-22, 2286, Juan Torres DNI 14520283, DOBLE, Miguel Torcuato, 15, 270000, ALTA
2025-05-24, 2287, Carlos Torres DNI 43382620, SUITE, Miguel Torcuato, 14, 420000, ALTA
2025-12-12, 2288, Laura Torres DNI 26320840, SENCILLA, Miguel Torcuato, 15, 150000, MEDIA
2025-02-19, 2289, Laura Ruiz DNI 40677653, SUITE, Miguel Torcuato, 15, 450000, ALTA
2025-08-16, 2290, Marcos Ruiz DNI 39092958, SUITE, Miguel Torcuato, 3, 90000, BAJA
2025-07-22, 2291, Pedro Perez DNI 19522765, SENCILLA, Miguel Torcuato, 8, 80000, BAJA
2025-12-03, 2292, Ana Diaz DNI 37907740, SUITE, Miguel Torcuato, 14, 420000, ALTA
2025-09-13, 2293, Diego Herrera DNI 46465214, DOBLE, Miguel Torcuato, 3, 54000, BAJA
2025-10-06, 2294, Ana Sosa DNI 12568981, SENCILLA, Miguel Torcuato, 2, 20000, BAJA
2025-02-07, 2295, Marcos Sosa DNI 33330322, DOBLE, Miguel Torcuato, 1, 18000, BAJA
2025-02-05, 2296, Valentina Mendez DNI 43592271, DOBLE, Miguel Torcuato, 13, 234000, ALTA
2025-07-28, 2297, Juan Perez DNI 32714834, SUITE, Miguel Torcuato, 1, 30000, BAJA
2025-04-15, 2298, Sofia Ruiz DNI 12955584, SENCILLA, Miguel Torcuato, 15, 150000, MEDIA
2025-01-13, 2299, Marcos Ruiz DNI 44056561, SENCILLA, Miguel Torcuato, 12, 120000, MEDIA
2025-05-31, 2300, Valentina Torres DNI 41609197, SENCILLA, Miguel Torcuato, 13, 130000, MEDIA
2025-09-18, 2301, Diego Diaz DNI 31177085, DOBLE, Miguel Torcuato, 7, 126000, MEDIA
2025-04-24, 2302, Pedro Fernandez DNI 45728551, SENCILLA, Miguel Torcuato, 4, 40000, BAJA
2025-03-30, 2303, Lucia Gomez DNI 47034348, SENCILLA, Miguel Torcuato, 2, 20000, BAJA
2025-02-25, 2304, Marcos Herrera DNI 49118827, SUITE, Miguel Torcuato, 12, 360000, ALTA
2025-08-17, 2305, Marcos Lopez DNI 28275847, DOBLE, Miguel Torcuato, 3, 54000, BAJA
2025-12-23, 2306, Diego Sosa DNI 19181406, SUITE, Miguel Torcuato, 1, 30000, BAJA
2025-12-03, 2307, Diego Torres DNI 16911614, SUITE, Miguel Torcuato, 15, 450000, ALTA
2025-10-17, 2308, Pedro Lopez DNI 18809323, SUITE, Miguel Torcuato, 4, 120000, MEDIA
2025-05-05, 2309, Pedro Gomez DNI 10371600, SENCILLA, Miguel Torcuato, 2, 20000, BAJA
2025-10-09, 2310, Carlos Torres DNI 31634305, SUITE, Miguel Torcuato, 4, 120000, MEDIA
2025-07-04, 2311, Diego Torres DNI 49312477, DOBLE, Miguel Torcuato, 4, 72000, BAJA
2025-12-25, 2312, Carlos Gomez DNI 12861429, DOBLE, Miguel Torcuato, 12, 216000, ALTA
2025-08-19, 2313, Laura Sosa DNI 47154898, SENCILLA, Miguel Torcuato, 2, 20000, BAJA
2025-08-07, 2314, Marcos Herrera DNI 41937400, SUITE, Miguel Torcuato, 13, 390000, ALTA
2025-07-22, 2315, Ana Diaz DNI 30806072, SUITE, Miguel Torcuato, 10, 300000, ALTA
2025-02-26, 2316, Sofia Ruiz DNI 26948925, DOBLE, Miguel Torcuato, 4, 72000, BAJA
2025-11-09, 2317, Lucia Lopez DNI 40459618, SENCILLA, Miguel Torcuato, 13, 130000, MEDIA
2025-11-15, 2318, Ana Fernandez DNI 37476403, SENCILLA, Miguel Torcuato, 14, 140000, MEDIA
2025-09-29, 2319, Pedro Diaz DNI 27555961, SENCILLA, Miguel Torcuato, 11, 110000, MEDIA
2025-08-16, 2320, Sofia Perez DNI 37326690, SENCILLA, Miguel Torcuato, 13, 130000, MEDIA
2025-02-17, 2321, Lucia Gomez DNI 14116334, DOBLE, Miguel Torcuato, 5, 90000, BAJA
2025-06-01, 2322, Juan Fernandez DNI 26292333, DOBLE, Miguel Torcuato, 12, 216000, ALTA
2025-11-01, 2323, Pedro Herrera DNI 23546243, SUITE, Miguel Torcuato, 3, 90000, BAJA
2025-06-22, 2324, Valentina Mendez DNI 15293612, SENCILLA, Miguel Torcuato, 15, 150000, MEDIA
2025-10-26, 2325, Laura Herrera DNI 48779262, SENCILLA, Miguel Torcuato, 4, 40000, BAJA
2025-08-06, 2326, Sofia Lopez DNI 49054060, SUITE, Miguel Torcuato, 9, 270000, ALTA
2025-08-28, 2327, Sofia Mendez DNI 40130420, SENCILLA, Miguel Torcuato, 13, 130000, MEDIA
2025-12-31, 2328, Valentina Mendez DNI 32827852, DOBLE, Miguel Torcuato, 13, 234000, ALTA
2025-09-03, 2329, Laura Ruiz DNI 15263798, SUITE, Miguel Torcuato, 9, 270000, ALTA
2025-11-17, 2330, Lucia Sosa DNI 29008446, SUITE, Miguel Torcuato, 6, 180000, MEDIA
2025-03-17, 2331, Lucia Fernandez DNI 13026914, SUITE, Miguel Torcuato, 14, 420000, ALTA
2025-01-02, 2332, Juan Perez DNI 47986153, SENCILLA, Miguel Torcuato, 3, 30000, BAJA
2025-02-08, 2333, Laura Sosa DNI 16949696, SENCILLA, Miguel Torcuato, 5, 50000, BAJA
2025-07-19, 2334, Valentina Diaz DNI 22190601, DOBLE, Miguel Torcuato, 6, 108000, MEDIA
2025-05-10, 2335, Carlos Ruiz DNI 16635800, SENCILLA, Miguel Torcuato, 13, 130000, MEDIA
2025-10-13, 2336, Pedro Fernandez DNI 41951149, SENCILLA, Miguel Torcuato, 1, 10000, BAJA
2025-09-01, 2337, Ana Diaz DNI 10098671, SUITE, Miguel Torcuato, 3, 90000, BAJA
2025-12-20, 2338, Laura Mendez DNI 29133831, DOBLE, Miguel Torcuato, 8, 144000, MEDIA
2025-01-21, 2339, Valentina Herrera DNI 49993178, SENCILLA, Miguel Torcuato, 8, 80000, BAJA
2025-02-04, 2340, Valentina Herrera DNI 27220346, DOBLE, Miguel Torcuato, 9, 162000, MEDIA
2025-02-16, 2341, Sofia Fernandez DNI 46995214, SUITE, Miguel Torcuato, 10, 300000, ALTA
2025-07-20, 2342, Diego Sosa DNI 20861187, SENCILLA, Miguel Torcuato, 6, 60000, BAJA
2025-10-22, 2343, Marcos Diaz DNI 22808087, SUITE, Miguel Torcuato, 15, 450000, ALTA
2025-08-10, 2344, Ana Perez DNI 18939580, SENCILLA, Miguel Torcuato, 15, 150000, MEDIA
2025-08-12, 2345, Marcos Fernandez DNI 18689711, SENCILLA, Miguel Torcuato, 2, 20000, BAJA
2025-01-06, 2346, Carlos Sosa DNI 15606147, DOBLE, Miguel Torcuato, 2, 36000, BAJA
2025-02-28, 2347, Marcos Lopez DNI 48298547, SUITE, Miguel Torcuato, 7, 210000, ALTA
2025-07-06, 2348, Lucia Torres DNI 20971457, DOBLE, Miguel Torcuato, 12, 216000, ALTA
2025-12-18, 2349, Diego Herrera DNI 33720887, DOBLE, Miguel Torcuato, 5, 90000, BAJA
2025-03-12, 2350, Pedro Perez DNI 38960461, SUITE, Miguel Torcuato, 3, 90000, BAJA
2025-01-18, 2351, Pedro Fernandez DNI 11743041, DOBLE, Miguel Torcuato, 13, 234000, ALTA
2025-11-15, 2352, Pedro Gomez DNI 28259446, DOBLE, Miguel Torcuato, 2, 36000, BAJA
2025-01-30, 2353, Juan Herrera DNI 48798106, DOBLE, Miguel Torcuato, 1, 18000, BAJA
2025-05-24, 2354, Juan Gomez DNI 14864935, SUITE, Miguel Torcuato, 2, 60000, BAJA
2025-11-15, 2355, Sofia Fernandez DNI 47763528, SENCILLA, Miguel Torcuato, 9, 90000, BAJA
2025-04-13, 2356, Juan Fernandez DNI 37868334, DOBLE, Miguel Torcuato, 1, 18000, BAJA
2025-07-27, 2357, Ana Mendez DNI 12935713, DOBLE, Miguel Torcuato, 7, 126000, MEDIA
2025-12-21, 2358, Sofia Diaz DNI 16239262, SUITE, Miguel Torcuato, 8, 240000, ALTA
2025-06-08, 2359, Ana Ruiz DNI 30438146, DOBLE, Miguel Torcuato, 3, 54000, BAJA
2025-07-09, 2360, Ana Ruiz DNI 34329435, SUITE, Miguel Torcuato, 3, 90000, BAJA
2025-04-02, 2361, Carlos Diaz DNI 31780645, SUITE, Miguel Torcuato, 9, 270000, ALTA
2025-12-08, 2362, Juan Sosa DNI 34057916, DOBLE, Miguel Torcuato, 14, 252000, ALTA
2025-05-22, 2363, Marcos Lopez DNI 41653912, SENCILLA, Miguel Torcuato, 15, 150000, MEDIA
2025-07-08, 2364, Pedro Diaz DNI 37021779, SENCILLA, Miguel Torcuato, 4, 40000, BAJA
2025-02-17, 2365, Valentina Lopez DNI 18668241, SENCILLA, Miguel Torcuato, 7, 70000, BAJA
2025-10-11, 2366, Sofia Diaz DNI 13322961, SUITE, Miguel Torcuato, 5, 150000, MEDIA
2025-04-10, 2367, Lucia Torres DNI 49682024, DOBLE, Miguel Torcuato, 7, 126000, MEDIA
2025-12-27, 2368, Lucia Fernandez DNI 41214477, SUITE, Miguel Torcuato, 2, 60000, BAJA
2025-10-29, 2369, Juan Fernandez DNI 29817061, SENCILLA, Miguel Torcuato, 4, 40000, BAJA
2025-06-25, 2370, Lucia Lopez DNI 20969515, DOBLE, Miguel Torcuato, 3, 54000, BAJA
2025-02-15, 2371, Valentina Fernandez DNI 40962239, SUITE, Miguel Torcuato, 7, 210000, ALTA
2025-09-22, 2372, Valentina Gomez DNI 45344226, SENCILLA, Miguel Torcuato, 12, 120000, MEDIA
2025-01-12, 2373, Pedro Gomez DNI 43781998, DOBLE, Miguel Torcuato, 8, 144000, MEDIA
2025-09-05, 2374, Valentina Gomez DNI 19098591, SUITE, Miguel Torcuato, 6, 180000, MEDIA
2025-06-28, 2375, Laura Mendez DNI 14726560, SUITE, Miguel Torcuato, 8, 240000, ALTA
2025-08-16, 2376, Ana Torres DNI 47325517, SUITE, Miguel Torcuato, 4, 120000, MEDIA
2025-01-20, 2377, Diego Fernandez DNI 17898384, DOBLE, Miguel Torcuato, 2, 36000, BAJA
2025-03-28, 2378, Carlos Gomez DNI 49781118, DOBLE, Miguel Torcuato, 15, 270000, ALTA
2025-07-30, 2379, Sofia Mendez DNI 38978428, SENCILLA, Miguel Torcuato, 4, 40000, BAJA
2025-07-19, 2380, Carlos Sosa DNI 30427308, SUITE, Miguel Torcuato, 11, 330000, ALTA
2025-11-29, 2381, Lucia Perez DNI 45628989, SUITE, Miguel Torcuato, 15, 450000, ALTA
2025-06-04, 2382, Sofia Torres DNI 23085025, SUITE, Miguel Torcuato, 4, 120000, MEDIA
2025-03-07, 2383, Juan Torres DNI 42600952, SUITE, Miguel Torcuato, 3, 90000, BAJA
2025-11-13, 2384, Pedro Gomez DNI 12959742, SENCILLA, Miguel Torcuato, 2, 20000, BAJA
2025-07-03, 2385, Laura Diaz DNI 36443387, SENCILLA, Miguel Torcuato, 15, 150000, MEDIA
2025-03-14, 2386, Laura Herrera DNI 28174815, DOBLE, Miguel Torcuato, 4, 72000, BAJA
2025-03-12, 2387, Valentina Herrera DNI 25397420, SENCILLA, Miguel Torcuato, 7, 70000, BAJA
2025-12-09, 2388, Pedro Mendez DNI 45243811, SENCILLA, Miguel Torcuato, 6, 60000, BAJA
2025-03-18, 2389, Carlos Diaz DNI 48004770, SENCILLA, Miguel Torcuato, 15, 150000, MEDIA
2025-04-16, 2390, Marcos Sosa DNI 47600914, DOBLE, Miguel Torcuato, 8, 144000, MEDIA
2025-05-20, 2391, Sofia Sosa DNI 14392286, SENCILLA, Miguel Torcuato, 10, 100000, MEDIA
2025-10-20, 2392, Juan Lopez DNI 20481312, SUITE, Miguel Torcuato, 13, 390000, ALTA
2025-02-14, 2393, Sofia Perez DNI 34242076, SENCILLA, Miguel Torcuato, 8, 80000, BAJA
2025-03-26, 2394, Valentina Fernandez DNI 21678182, DOBLE, Miguel Torcuato, 1, 18000, BAJA
2025-09-11, 2395, Ana Mendez DNI 32964467, DOBLE, Miguel Torcuato, 12, 216000, ALTA
2025-12-31, 2396, Pedro Fernandez DNI 32278860, DOBLE, Miguel Torcuato, 1, 18000, BAJA
2025-12-04, 2397, Laura Herrera DNI 33701047, DOBLE, Miguel Torcuato, 3, 54000, BAJA
2025-05-27, 2398, Ana Ruiz DNI 43419399, SUITE, Miguel Torcuato, 5, 150000, MEDIA
2025-10-15, 2399, Pedro Herrera DNI 40648145, SUITE, Miguel Torcuato, 3, 90000, BAJA
2025-11-17, 2400, Sofia Lopez DNI 42190416, SUITE, Miguel Torcuato, 14, 420000, ALTA
2025-02-06, 2401, Laura Diaz DNI 49826146, DOBLE, Miguel Torcuato, 5, 90000, BAJA
2025-06-19, 2402, Pedro Torres DNI 13921001, SUITE, Miguel Torcuato, 7, 210000, ALTA
2025-07-08, 2403, Ana Diaz DNI 37396936, SENCILLA, Miguel Torcuato, 5, 50000, BAJA
2025-05-25, 2404, Juan Sosa DNI 10798958, SENCILLA, Miguel Torcuato, 9, 90000, BAJA
2025-06-12, 2405, Diego Sosa DNI 26555005, DOBLE, Miguel Torcuato, 13, 234000, ALTA
2025-12-02, 2406, Carlos Herrera DNI 48362940, DOBLE, Miguel Torcuato, 7, 126000, MEDIA
2025-03-10, 2407, Diego Torres DNI 49365778, DOBLE, Miguel Torcuato, 10, 180000, MEDIA
2025-03-12, 2408, Marcos Diaz DNI 10174472, DOBLE, Miguel Torcuato, 8, 144000, MEDIA
2025-06-08, 2409, Sofia Perez DNI 49785809, DOBLE, Miguel Torcuato, 8, 144000, MEDIA
2025-08-09, 2410, Valentina Diaz DNI 28490887, SUITE, Miguel Torcuato, 9, 270000, ALTA
2025-01-31, 2411, Laura Perez DNI 31111157, DOBLE, Miguel Torcuato, 10, 180000, MEDIA
2025-01-30, 2412, Marcos Sosa DNI 47122366, SENCILLA, Miguel Torcuato, 12, 120000, MEDIA
2025-11-08, 2413, Marcos Diaz DNI 29406607, SUITE, Miguel Torcuato, 4, 120000, MEDIA
2025-02-06, 2414, Marcos Herrera DNI 24061294, SENCILLA, Miguel Torcuato, 9, 90000, BAJA
2025-03-16, 2415, Diego Fernandez DNI 32590590, DOBLE, Miguel Torcuato, 1, 18000, BAJA
2025-03-01, 2416, Juan Herrera DNI 46401573, DOBLE, Miguel Torcuato, 11, 198000, MEDIA
2025-08-15, 2417, Valentina Lopez DNI 10087955, SENCILLA, Miguel Torcuato, 10, 100000, MEDIA
2025-04-13, 2418, Diego Torres DNI 37679979, SUITE, Miguel Torcuato, 4, 120000, MEDIA
2025-08-07, 2419, Lucia Sosa DNI 22154440, SENCILLA, Miguel Torcuato, 2, 20000, BAJA
2025-11-07, 2420, Valentina Mendez DNI 30700176, DOBLE, Miguel Torcuato, 13, 234000, ALTA
2025-05-09, 2421, Marcos Perez DNI 25085860, DOBLE, Miguel Torcuato, 15, 270000, ALTA
2025-04-13, 2422, Sofia Fernandez DNI 38468119, SENCILLA, Miguel Torcuato, 6, 60000, BAJA
2025-12-11, 2423, Sofia Mendez DNI 48576437, SUITE, Miguel Torcuato, 2, 60000, BAJA
2025-08-26, 2424, Sofia Gomez DNI 25870793, DOBLE, Miguel Torcuato, 12, 216000, ALTA
2025-08-09, 2425, Pedro Ruiz DNI 29886001, SUITE, Miguel Torcuato, 11, 330000, ALTA
2025-09-01, 2426, Sofia Gomez DNI 28070241, SENCILLA, Miguel Torcuato, 1, 10000, BAJA
2025-08-26, 2427, Pedro Torres DNI 31024049, DOBLE, Miguel Torcuato, 2, 36000, BAJA
2025-06-01, 2428, Sofia Mendez DNI 41622999, SUITE, Miguel Torcuato, 8, 240000, ALTA
2025-08-17, 2429, Pedro Perez DNI 47973652, SENCILLA, Miguel Torcuato, 12, 120000, MEDIA
2025-11-04, 2430, Carlos Fernandez DNI 42771283, SUITE, Miguel Torcuato, 15, 450000, ALTA
2025-08-06, 2431, Pedro Lopez DNI 32336885, SUITE, Miguel Torcuato, 6, 180000, MEDIA
2025-04-25, 2432, Valentina Gomez DNI 46590392, SUITE, Miguel Torcuato, 5, 150000, MEDIA
2025-08-06, 2433, Marcos Sosa DNI 19482321, SENCILLA, Miguel Torcuato, 6, 60000, BAJA
2025-01-24, 2434, Valentina Perez DNI 34450899, DOBLE, Miguel Torcuato, 10, 180000, MEDIA
2025-11-23, 2435, Pedro Diaz DNI 18287808, SENCILLA, Miguel Torcuato, 3, 30000, BAJA
2025-03-03, 2436, Laura Torres DNI 42108711, DOBLE, Miguel Torcuato, 14, 252000, ALTA
2025-08-30, 2437, Juan Ruiz DNI 43484374, SENCILLA, Miguel Torcuato, 7, 70000, BAJA
2025-04-14, 2438, Pedro Lopez DNI 31261790, DOBLE, Miguel Torcuato, 2, 36000, BAJA
2025-12-08, 2439, Pedro Mendez DNI 14466847, DOBLE, Miguel Torcuato, 6, 108000, MEDIA
2025-02-25, 2440, Juan Torres DNI 32889942, DOBLE, Miguel Torcuato, 8, 144000, MEDIA
2025-11-18, 2441, Diego Herrera DNI 44607292, DOBLE, Miguel Torcuato, 4, 72000, BAJA
2025-07-10, 2442, Lucia Fernandez DNI 41472974, SUITE, Miguel Torcuato, 10, 300000, ALTA
2025-10-07, 2443, Juan Fernandez DNI 11644068, SUITE, Miguel Torcuato, 9, 270000, ALTA
2025-08-20, 2444, Valentina Gomez DNI 49534387, SUITE, Miguel Torcuato, 1, 30000, BAJA
2025-06-07, 2445, Marcos Diaz DNI 14585987, SUITE, Miguel Torcuato, 9, 270000, ALTA
2025-11-12, 2446, Marcos Sosa DNI 20376083, SENCILLA, Miguel Torcuato, 15, 150000, MEDIA
2025-12-02, 2447, Lucia Gomez DNI 23858993, SENCILLA, Miguel Torcuato, 11, 110000, MEDIA
2025-08-14, 2448, Ana Ruiz DNI 12289958, DOBLE, Miguel Torcuato, 1, 18000, BAJA
2025-07-03, 2449, Marcos Perez DNI 26420568, SENCILLA, Miguel Torcuato, 10, 100000, MEDIA
2025-03-24, 2450, Carlos Torres DNI 28227580, DOBLE, Miguel Torcuato, 6, 108000, MEDIA
2025-03-27, 2451, Marcos Torres DNI 15002285, SUITE, Miguel Torcuato, 2, 60000, BAJA
2025-01-12, 2452, Diego Herrera DNI 30065743, DOBLE, Miguel Torcuato, 7, 126000, MEDIA
2025-03-07, 2453, Lucia Fernandez DNI 17302918, SENCILLA, Miguel Torcuato, 7, 70000, BAJA
2025-12-20, 2454, Carlos Ruiz DNI 34950017, DOBLE, Miguel Torcuato, 2, 36000, BAJA
2025-06-27, 2455, Laura Perez DNI 46783374, SUITE, Miguel Torcuato, 15, 450000, ALTA
2025-09-08, 2456, Juan Herrera DNI 19605368, SUITE, Miguel Torcuato, 2, 60000, BAJA
2025-08-27, 2457, Carlos Herrera DNI 20395519, SENCILLA, Miguel Torcuato, 14, 140000, MEDIA
2025-09-03, 2458, Laura Fernandez DNI 47172748, SUITE, Miguel Torcuato, 12, 360000, ALTA
2025-04-05, 2459, Valentina Ruiz DNI 37122231, SENCILLA, Miguel Torcuato, 1, 10000, BAJA
2025-12-13, 2460, Pedro Gomez DNI 36080412, DOBLE, Miguel Torcuato, 10, 180000, MEDIA
2025-08-27, 2461, Valentina Fernandez DNI 14675731, DOBLE, Miguel Torcuato, 4, 72000, BAJA
2025-01-29, 2462, Lucia Fernandez DNI 47443987, SUITE, Miguel Torcuato, 14, 420000, ALTA
2025-07-07, 2463, Carlos Perez DNI 35525521, SUITE, Miguel Torcuato, 7, 210000, ALTA
2025-11-25, 2464, Juan Mendez DNI 22111583, SENCILLA, Miguel Torcuato, 11, 110000, MEDIA
2025-09-05, 2465, Diego Ruiz DNI 33216158, SENCILLA, Miguel Torcuato, 1, 10000, BAJA
2025-02-19, 2466, Ana Torres DNI 28915849, SUITE, Miguel Torcuato, 2, 60000, BAJA
2025-03-19, 2467, Sofia Lopez DNI 35270770, SUITE, Miguel Torcuato, 2, 60000, BAJA
2025-02-06, 2468, Diego Herrera DNI 40783719, DOBLE, Miguel Torcuato, 3, 54000, BAJA
2025-01-23, 2469, Ana Torres DNI 16948256, DOBLE, Miguel Torcuato, 7, 126000, MEDIA
2025-02-01, 2470, Lucia Torres DNI 35982581, SENCILLA, Miguel Torcuato, 14, 140000, MEDIA
2025-10-09, 2471, Ana Perez DNI 24039858, SENCILLA, Miguel Torcuato, 9, 90000, BAJA
2025-03-04, 2472, Lucia Perez DNI 46143050, SUITE, Miguel Torcuato, 8, 240000, ALTA
2025-04-16, 2473, Juan Mendez DNI 24466297, DOBLE, Miguel Torcuato, 14, 252000, ALTA
2025-03-06, 2474, Diego Perez DNI 27995566, DOBLE, Miguel Torcuato, 12, 216000, ALTA
2025-09-12, 2475, Marcos Mendez DNI 27147884, SENCILLA, Miguel Torcuato, 2, 20000, BAJA
2025-10-09, 2476, Juan Gomez DNI 10021328, DOBLE, Miguel Torcuato, 11, 198000, MEDIA
2025-01-30, 2477, Pedro Sosa DNI 49687982, SUITE, Miguel Torcuato, 1, 30000, BAJA
2025-06-22, 2478, Lucia Fernandez DNI 25940253, SENCILLA, Miguel Torcuato, 1, 10000, BAJA
2025-03-15, 2479, Sofia Torres DNI 10016570, SUITE, Miguel Torcuato, 15, 450000, ALTA
2025-12-13, 2480, Diego Sosa DNI 46983988, SENCILLA, Miguel Torcuato, 7, 70000, BAJA
2025-05-23, 2481, Valentina Perez DNI 32510883, SUITE, Miguel Torcuato, 5, 150000, MEDIA
2025-09-22, 2482, Juan Fernandez DNI 43875967, SUITE, Miguel Torcuato, 6, 180000, MEDIA
2025-05-11, 2483, Sofia Perez DNI 49391357, SUITE, Miguel Torcuato, 3, 90000, BAJA
2025-10-08, 2484, Juan Perez DNI 26590692, SUITE, Miguel Torcuato, 14, 420000, ALTA
2025-02-04, 2485, Carlos Mendez DNI 20575456, SUITE, Miguel Torcuato, 6, 180000, MEDIA
2025-06-03, 2486, Carlos Perez DNI 37577888, DOBLE, Miguel Torcuato, 2, 36000, BAJA
2025-01-01, 2487, Diego Lopez DNI 31665043, SUITE, Miguel Torcuato, 3, 90000, BAJA
2025-09-21, 2488, Diego Ruiz DNI 22368829, DOBLE, Miguel Torcuato, 15, 270000, ALTA
2025-08-29, 2489, Marcos Perez DNI 45858381, SENCILLA, Miguel Torcuato, 14, 140000, MEDIA
2025-03-06, 2490, Laura Lopez DNI 39639202, DOBLE, Miguel Torcuato, 15, 270000, ALTA
