Fecha,NumeroReserva,Huesped,TipoHabitacion,Empleado,Noches,Total,Calidad
08/10/2025, 1998, Juan Lopez DNI 24587878, DOBLE, Miguel Torcuato, 12, 216000, ALTA
07/07/2025, 1999, Diego Mendez DNI 41084870, SUITE, Miguel Torcuato, 6, 180000, MEDIA
02/03/2025, 2000, Laura Torres DNI 13758045, DOBLE, Miguel Torcuato, 11, 198000, MEDIA
08/09/2025, 2001, Ana Gomez DNI 32066434, SUITE, Miguel Torcuato, 1, 30000, BAJA
14/06/2025, 2002, Valentina Herrera DNI 26869600, DOBLE, Miguel Torcuato, 2, 36000, BAJA
25/06/2025, 2003, Ana Lopez DNI 41437676, DOBLE, Miguel Torcuato, 1, 18000, BAJA
05/05/2025, 2004, Sofia Gomez DNI 11455899, DOBLE, Miguel Torcuato, 12, 216000, ALTA
19/12/2025, 2005, Marcos Gomez DNI 36791290, DOBLE, Miguel Torcuato, 11, 198000, MEDIA
21/10/2025, 2006, Marcos Perez DNI 41761532, SENCILLA, Miguel Torcuato, 15, 150000, MEDIA
29/10/2025, 2007, Marcos Perez DNI 44239201, DOBLE, Miguel Torcuato, 2, 36000, BAJA
08/06/2025, 2008, Sofia Perez DNI 49891151, DOBLE, Miguel Torcuato, 10, 180000, MEDIA
18/03/2025, 2009, Marcos Herrera DNI 24205756, SUITE, Miguel Torcuato, 4, 120000, MEDIA
10/12/2025, 2010, Pedro Diaz DNI 38193148, SUITE, Miguel Torcuato, 6, 180000, MEDIA
13/04/2025, 2011, Diego Mendez DNI 43090527, SUITE, Miguel Torcuato, 15, 450000, ALTA
11/07/2025, 2012, Diego Ruiz DNI 36429159, DOBLE, Miguel Torcuato, 12, 216000, ALTA
23/04/2025, 2013, Ana Torres DNI 20398276, SUITE, Miguel Torcuato, 8, 240000, ALTA
23/07/2025, 2014, Diego Sosa DNI 12803563, SUITE, Miguel Torcuato, 8, 240000, ALTA
12/09/2025, 2015, Pedro Mendez DNI 34042778, SENCILLA, Miguel Torcuato, 14, 140000, MEDIA
26/03/2025, 2016, Juan Ruiz DNI 37186170, SUITE, Miguel Torcuato, 13, 390000, ALTA
27/12/2025, 2017, Valentina Diaz DNI 37415021, DOBLE, Miguel Torcuato, 15, 270000, ALTA
24/01/2025, 2018, Carlos Ruiz DNI 45703389, SENCILLA, Miguel Torcuato, 9, 90000, BAJA
24/10/2025, 2019, Diego Perez DNI 24078846, SENCILLA, Miguel Torcuato, 4, 40000, BAJA
10/08/2025, 2020, Diego Herrera DNI 42255244, DOBLE, Miguel Torcuato, 6, 108000, MEDIA
05/12/2025, 2021, Carlos Sosa DNI 13736745, DOBLE, Miguel Torcuato, 6, 108000, MEDIA
27/01/2025, 2022, Marcos Mendez DNI 19620146, SENCILLA, Miguel Torcuato, 14, 140000, MEDIA
04/04/2025, 2023, Sofia Lopez DNI 23007349, DOBLE, Miguel Torcuato, 10, 180000, MEDIA
17/03/2025, 2024, Sofia Diaz DNI 25931720, SENCILLA, Miguel Torcuato, 3, 30000, BAJA
21/01/2025, 2025, Laura Perez DNI 45273667, SENCILLA, Miguel Torcuato, 5, 50000, BAJA
31/03/2025, 2026, Lucia Fernandez DNI 40703315, SENCILLA, Miguel Torcuato, 1, 10000, BAJA
21/02/2025, 2027, Juan Herrera DNI 49027998, SENCILLA, Miguel Torcuato, 9, 90000, BAJA
15/12/2025, 2028, Diego Lopez DNI 36405316, SUITE, Miguel Torcuato, 6, 180000, MEDIA
19/09/2025, 2029, Carlos Ruiz DNI 25990051, DOBLE, Miguel Torcuato, 15, 270000, ALTA
26/01/2025, 2030, Juan Fernandez DNI 26493810, SUITE, Miguel Torcuato, 3, 90000, BAJA
30/08/2025, 2031, Ana Mendez DNI 26222485, SENCILLA, Miguel Torcuato, 6, 60000, BAJA
30/07/2025, 2032, Valentina Torres DNI 30805439, SENCILLA, Miguel Torcuato, 7, 70000, BAJA
23/12/2025, 2033, Pedro Lopez DNI 48414601, SENCILLA, Miguel Torcuato, 2, 20000, BAJA
02/02/2025, 2034, Valentina Ruiz DNI 33095501, SUITE, Miguel Torcuato, 3, 90000, BAJA
26/07/2025, 2035, Valentina Mendez DNI 20284848, DOBLE, Miguel Torcuato, 11, 198000, MEDIA
21/07/2025, 2036, Juan Perez DNI 12650596, DOBLE, Miguel Torcuato, 9, 162000, MEDIA
12/07/2025, 2037, Juan Gomez DNI 35092558, DOBLE, Miguel Torcuato, 13, 234000, ALTA
04/11/2025, 2038, Marcos Torres DNI 15437290, SUITE, Miguel Torcuato, 15, 450000, ALTA
07/11/2025, 2039, Sofia Lopez DNI 10131519, SENCILLA, Miguel Torcuato, 7, 70000, BAJA
15/03/2025, 2040, Juan Gomez DNI 37572486, SUITE, Miguel Torcuato, 8, 240000, ALTA
14/10/2025, 2041, Marcos Mendez DNI 44060201, DOBLE, Miguel Torcuato, 1, 18000, BAJA
06/09/2025, 2042, Diego Lopez DNI 10636635, DOBLE, Miguel Torcuato, 10, 180000, MEDIA
11/02/2025, 2043, Pedro Gomez DNI 19258954, DOBLE, Miguel Torcuato, 4, 72000, BAJA
25/04/2025, 2044, Valentina Perez DNI 16717156, DOBLE, Miguel Torcuato, 8, 144000, MEDIA
02/08/2025, 2045, Laura Sosa DNI 48069862, SUITE, Miguel Torcuato, 12, 360000, ALTA
28/11/2025, 2046, Valentina Herrera DNI 27974265, DOBLE, Miguel Torcuato, 4, 72000, BAJA
12/10/2025, 2047, Lucia Torres DNI 37759829, SUITE, Miguel Torcuato, 3, 90000, BAJA
25/09/2025, 2048, Valentina Perez DNI 34784486, SENCILLA, Miguel Torcuato, 6, 60000, BAJA
19/05/2025, 2049, Laura Lopez DNI 47614278, SENCILLA, Miguel Torcuato, 7, 70000, BAJA
26/08/2025, 2050, Laura Diaz DNI 28758521, DOBLE, Miguel Torcuato, 6, 108000, MEDIA
12/01/2025, 2051, Marcos Fernandez DNI 31215593, SUITE, Miguel Torcuato, 12, 360000, ALTA
04/11/2025, 2052, Sofia Sosa DNI 20279860, SENCILLA, Miguel Torcuato, 11, 110000, MEDIA
19/05/2025, 2053, Lucia Fernandez DNI 14909162, DOBLE, Miguel Torcuato, 4, 72000, BAJA
27/06/2025, 2054, Sofia Fernandez DNI 36467284, SUITE, Miguel Torcuato, 5, 150000, MEDIA
02/05/2025, 2055, Pedro Gomez DNI 20894073, DOBLE, Miguel Torcuato, 14, 252000, ALTA
11/03/2025, 2056, Sofia Lopez DNI 13889020, SUITE, Miguel Torcuato, 12, 360000, ALTA
21/09/2025, 2057, Marcos Ruiz DNI 39626381, DOBLE, Miguel Torcuato, 2, 36000, BAJA
31/08/2025, 2058, Valentina Herrera DNI 13202254, DOBLE, Miguel Torcuato, 14, 252000, ALTA
11/12/2025, 2059, Laura Herrera DNI 29909663, SUITE, Miguel Torcuato, 15, 450000, ALTA
28/11/2025, 2060, Laura Gomez DNI 17227510, DOBLE, Miguel Torcuato, 4, 72000, BAJA
18/12/2025, 2061, Marcos Mendez DNI 43966332, SUITE, Miguel Torcuato, 4, 120000, MEDIA
13/10/2025, 2062, Marcos Mendez DNI 48079688, DOBLE, Miguel Torcuato, 13, 234000, ALTA
13/02/2025, 2063, Ana Herrera DNI 23345723, SENCILLA, Miguel Torcuato, 7, 70000, BAJA
01/11/2025, 2064, Marcos Lopez DNI 22601869, DOBLE, Miguel Torcuato, 1, 18000, BAJA
17/11/2025, 2065, Juan Lopez DNI 26890582, DOBLE, Miguel Torcuato, 14, 252000, ALTA
06/02/2025, 2066, Ana Perez DNI 27992165, SENCILLA, Miguel Torcuato, 14, 140000, MEDIA
14/11/2025, 2067, Laura Perez DNI 23425758, DOBLE, Miguel Torcuato, 3, 54000, BAJA
03/10/2025, 2068, Marcos Ruiz DNI 36546636, DOBLE, Miguel Torcuato, 5, 90000, BAJA
26/12/2025, 2069, Carlos Herrera DNI 13620430, DOBLE, Miguel Torcuato, 1, 18000, BAJA
19/01/2025, 2070, Valentina Perez DNI 34294087, DOBLE, Miguel Torcuato, 9, 162000, MEDIA
01/03/2025, 2071, Carlos Perez DNI 27393929, SUITE, Miguel Torcuato, 11, 330000, ALTA
29/07/2025, 2072, Ana Ruiz DNI 49468576, DOBLE, Miguel Torcuato, 15, 270000, ALTA
05/06/2025, 2073, Ana Torres DNI 39321191, DOBLE, Miguel Torcuato, 12, 216000, ALTA
25/09/2025, 2074, Ana Herrera DNI 25530837, SENCILLA, Miguel Torcuato, 4, 40000, BAJA
16/11/2025, 2075, Diego Ruiz DNI 26241650, SUITE, Miguel Torcuato, 15, 450000, ALTA
08/01/2025, 2076, Marcos Ruiz DNI 19923352, DOBLE, Miguel Torcuato, 4, 72000, BAJA
08/02/2025, 2077, Juan Herrera DNI 10887479, SENCILLA, Miguel Torcuato, 11, 110000, MEDIA
04/01/2025, 2078, Pedro Perez DNI 15223800, DOBLE, Miguel Torcuato, 10, 180000, MEDIA
23/10/2025, 2079, Carlos Torres DNI 38054336, SUITE, Miguel Torcuato, 13, 390000, ALTA
19/02/2025, 2080, Carlos Herrera DNI 18296230, DOBLE, Miguel Torcuato, 4, 72000, BAJA
13/12/2025, 2081, Laura Perez DNI 34535846, DOBLE, Miguel Torcuato, 12, 216000, ALTA
04/02/2025, 2082, Diego Gomez DNI 14931034, SENCILLA, Miguel Torcuato, 10, 100000, MEDIA
22/01/2025, 2083, Ana Torres DNI 18001994, DOBLE, Miguel Torcuato, 2, 36000, BAJA
30/07/2025, 2084, Marcos Perez DNI 34887260, DOBLE, Miguel Torcuato, 1, 18000, BAJA
16/11/2025, 2085, Sofia Fernandez DNI 37667281, SUITE, Miguel Torcuato, 5, 150000, MEDIA
22/04/2025, 2086, Diego Torres DNI 37995487, SUITE, Miguel Torcuato, 2, 60000, BAJA
23/04/2025, 2087, Marcos Diaz DNI 42093856, SENCILLA, Miguel Torcuato, 14, 140000, MEDIA
08/06/2025, 2088, Laura Mendez DNI 33730481, SENCILLA, Miguel Torcuato, 7, 70000, BAJA
09/05/2025, 2089, Valentina Fernandez DNI 19870973, DOBLE, Miguel Torcuato, 5, 90000, BAJA
04/07/2025, 2090, Juan Mendez DNI 19040214, SUITE, Miguel Torcuato, 14, 420000, ALTA
11/12/2025, 2091, Lucia Gomez DNI 21039940, SUITE, Miguel Torcuato, 14, 420000, ALTA
30/07/2025, 2092, Lucia Lopez DNI 46265455, DOBLE, Miguel Torcuato, 12, 216000, ALTA
10/11/2025, 2093, Carlos Fernandez DNI 43119282, DOBLE, Miguel Torcuato, 11, 198000, MEDIA
17/01/2025, 2094, Laura Gomez DNI 13614218, SENCILLA, Miguel Torcuato, 8, 80000, BAJA
02/03/2025, 2095, Laura Torres DNI 30488224, SUITE, Miguel Torcuato, 11, 330000, ALTA
24/02/2025, 2096, Sofia Herrera DNI 11100138, DOBLE, Miguel Torcuato, 3, 54000, BAJA
25/01/2025, 2097, Sofia Diaz DNI 21009017, DOBLE, Miguel Torcuato, 14, 252000, ALTA
30/03/2025, 2098, Carlos Fernandez DNI 12355790, DOBLE, Miguel Torcuato, 8, 144000, MEDIA
05/06/2025, 2099, Ana Herrera DNI 15788229, SUITE, Miguel Torcuato, 15, 450000, ALTA
23/01/2025, 2100, Valentina Lopez DNI 48214719, SUITE, Miguel Torcuato, 15, 450000, ALTA
29/03/2025, 2101, Ana Fernandez DNI 38597236, SUITE, Miguel Torcuato, 6, 180000, MEDIA
01/08/2025, 2102, Juan Sosa DNI 37032320, SUITE, Miguel Torcuato, 3, 90000, BAJA
31/01/2025, 2103, Sofia Diaz DNI 47449865, SENCILLA, Miguel Torcuato, 15, 150000, MEDIA
11/11/2025, 2104, Marcos Sosa DNI 26489823, SUITE, Miguel Torcuato, 8, 240000, ALTA
28/05/2025, 2105, Juan Fernandez DNI 41426648, SENCILLA, Miguel Torcuato, 3, 30000, BAJA
12/05/2025, 2106, Pedro Ruiz DNI 25439748, SENCILLA, Miguel Torcuato, 7, 70000, BAJA
24/01/2025, 2107, Diego Lopez DNI 40535464, DOBLE, Miguel Torcuato, 13, 234000, ALTA
10/05/2025, 2108, Juan Sosa DNI 43894511, DOBLE, Miguel Torcuato, 15, 270000, ALTA
18/01/2025, 2109, Laura Herrera DNI 30449787, DOBLE, Miguel Torcuato, 9, 162000, MEDIA
02/04/2025, 2110, Carlos Herrera DNI 27408389, DOBLE, Miguel Torcuato, 1, 18000, BAJA
18/11/2025, 2111, Carlos Gomez DNI 48184433, SUITE, Miguel Torcuato, 2, 60000, BAJA
25/04/2025, 2112, Carlos Diaz DNI 38540492, DOBLE, Miguel Torcuato, 9, 162000, MEDIA
16/09/2025, 2113, Laura Torres DNI 49006803, SENCILLA, Miguel Torcuato, 4, 40000, BAJA
04/03/2025, 2114, Carlos Fernandez DNI 37564096, SUITE, Miguel Torcuato, 15, 450000, ALTA
12/11/2025, 2115, Sofia Fernandez DNI 39697973, DOBLE, Miguel Torcuato, 4, 72000, BAJA
06/02/2025, 2116, Lucia Gomez DNI 12693830, SENCILLA, Miguel Torcuato, 2, 20000, BAJA
28/06/2025, 2117, Pedro Lopez DNI 36090043, SUITE, Miguel Torcuato, 13, 390000, ALTA
15/04/2025, 2118, Sofia Mendez DNI 14811589, SUITE, Miguel Torcuato, 1, 30000, BAJA
13/03/2025, 2119, Sofia Mendez DNI 32395141, SENCILLA, Miguel Torcuato, 2, 20000, BAJA
03/03/2025, 2120, Ana Gomez DNI 38487005, SUITE, Miguel Torcuato, 14, 420000, ALTA
09/12/2025, 2121, Juan Diaz DNI 16421166, DOBLE, Miguel Torcuato, 14, 252000, ALTA
29/06/2025, 2122, Marcos Sosa DNI 16769975, SUITE, Miguel Torcuato, 5, 150000, MEDIA
14/03/2025, 2123, Marcos Torres DNI 32058742, SUITE, Miguel Torcuato, 3, 90000, BAJA
07/08/2025, 2124, Juan Mendez DNI 36279427, DOBLE, Miguel Torcuato, 8, 144000, MEDIA
09/04/2025, 2125, Laura Gomez DNI 42937351, DOBLE, Miguel Torcuato, 13, 234000, ALTA
15/09/2025, 2126, Pedro Ruiz DNI 44458760, SENCILLA, Miguel Torcuato, 14, 140000, MEDIA
13/12/2025, 2127, Laura Lopez DNI 34764893, DOBLE, Miguel Torcuato, 10, 180000, MEDIA
08/09/2025, 2128, Pedro Mendez DNI 13396061, SUITE, Miguel Torcuato, 9, 270000, ALTA
02/11/2025, 2129, Juan Herrera DNI 40111816, SUITE, Miguel Torcuato, 1, 30000, BAJA
23/08/2025, 2130, Juan Lopez DNI 46002366, SENCILLA, Miguel Torcuato, 7, 70000, BAJA
06/03/2025, 2131, Juan Perez DNI 43080852, SENCILLA, Miguel Torcuato, 7, 70000, BAJA
09/07/2025, 2132, Juan Perez DNI 23524994, SUITE, Miguel Torcuato, 7, 210000, ALTA
25/03/2025, 2133, Pedro Mendez DNI 31546192, SENCILLA, Miguel Torcuato, 5, 50000, BAJA
06/09/2025, 2134, Diego Mendez DNI 34077489, SENCILLA, Miguel Torcuato, 10, 100000, MEDIA
22/09/2025, 2135, Ana Fernandez DNI 25112371, SUITE, Miguel Torcuato, 2, 60000, BAJA
22/11/2025, 2136, Ana Fernandez DNI 43025595, SENCILLA, Miguel Torcuato, 6, 60000, BAJA
19/05/2025, 2137, Diego Sosa DNI 34692259, DOBLE, Miguel Torcuato, 3, 54000, BAJA
16/07/2025, 2138, Carlos Lopez DNI 24583883, SUITE, Miguel Torcuato, 3, 90000, BAJA
22/03/2025, 2139, Lucia Lopez DNI 23787736, DOBLE, Miguel Torcuato, 5, 90000, BAJA
20/02/2025, 2140, Lucia Mendez DNI 42825281, DOBLE, Miguel Torcuato, 1, 18000, BAJA
25/07/2025, 2141, Diego Mendez DNI 17098663, SUITE, Miguel Torcuato, 13, 390000, ALTA
18/12/2025, 2142, Valentina Herrera DNI 42824903, DOBLE, Miguel Torcuato, 14, 252000, ALTA
01/03/2025, 2143, Carlos Diaz DNI 33468001, SUITE, Miguel Torcuato, 2, 60000, BAJA
09/04/2025, 2144, Pedro Torres DNI 13076099, SUITE, Miguel Torcuato, 4, 120000, MEDIA
12/06/2025, 2145, Sofia Diaz DNI 24131554, SENCILLA, Miguel Torcuato, 1, 10000, BAJA
18/12/2025, 2146, Ana Mendez DNI 21736947, SENCILLA, Miguel Torcuato, 3, 30000, BAJA
13/07/2025, 2147, Valentina Mendez DNI 30979502, SENCILLA, Miguel Torcuato, 1, 10000, BAJA
02/01/2025, 2148, Ana Perez DNI 15992287, SENCILLA, Miguel Torcuato, 3, 30000, BAJA
23/03/2025, 2149, Diego Lopez DNI 31280189, SENCILLA, Miguel Torcuato, 5, 50000, BAJA
03/04/2025, 2150, Pedro Fernandez DNI 10158959, DOBLE, Miguel Torcuato, 4, 72000, BAJA
25/09/2025, 2151, Laura Mendez DNI 36713056, SUITE, Miguel Torcuato, 3, 90000, BAJA
20/02/2025, 2152, Carlos Torres DNI 22389861, SUITE, Miguel Torcuato, 2, 60000, BAJA
30/03/2025, 2153, Valentina Perez DNI 41074117, SUITE, Miguel Torcuato, 13, 390000, ALTA
25/02/2025, 2154, Marcos Lopez DNI 23078764, DOBLE, Miguel Torcuato, 5, 90000, BAJA
03/04/2025, 2155, Marcos Ruiz DNI 20875421, DOBLE, Miguel Torcuato, 12, 216000, ALTA
16/05/2025, 2156, Ana Ruiz DNI 14300823, SENCILLA, Miguel Torcuato, 11, 110000, MEDIA
04/05/2025, 2157, Ana Herrera DNI 26646629, DOBLE, Miguel Torcuato, 8, 144000, MEDIA
29/01/2025, 2158, Valentina Diaz DNI 18924015, DOBLE, Miguel Torcuato, 9, 162000, MEDIA
15/06/2025, 2159, Valentina Gomez DNI 39300554, SENCILLA, Miguel Torcuato, 10, 100000, MEDIA
08/09/2025, 2160, Lucia Torres DNI 16939316, DOBLE, Miguel Torcuato, 3, 54000, BAJA
15/02/2025, 2161, Diego Sosa DNI 38731156, SENCILLA, Miguel Torcuato, 1, 10000, BAJA
30/01/2025, 2162, Pedro Ruiz DNI 49517486, SENCILLA, Miguel Torcuato, 13, 130000, MEDIA
26/02/2025, 2163, Marcos Sosa DNI 41105043, SENCILLA, Miguel Torcuato, 6, 60000, BAJA
15/09/2025, 2164, Laura Torres DNI 35429850, SUITE, Miguel Torcuato, 6, 180000, MEDIA
19/06/2025, 2165, Valentina Sosa DNI 11399929, SUITE, Miguel Torcuato, 6, 180000, MEDIA
24/12/2025, 2166, Juan Perez DNI 30763886, DOBLE, Miguel Torcuato, 12, 216000, ALTA
03/05/2025, 2167, Lucia Torres DNI 27281658, SENCILLA, Miguel Torcuato, 14, 140000, MEDIA
14/10/2025, 2168, Marcos Sosa DNI 47809959, DOBLE, Miguel Torcuato, 8, 144000, MEDIA
05/11/2025, 2169, Laura Lopez DNI 26393359, SUITE, Miguel Torcuato, 5, 150000, MEDIA
24/07/2025, 2170, Laura Perez DNI 38775533, DOBLE, Miguel Torcuato, 11, 198000, MEDIA
12/07/2025, 2171, Pedro Perez DNI 40530595, DOBLE, Miguel Torcuato, 10, 180000, MEDIA
14/02/2025, 2172, Carlos Lopez DNI 36230664, SUITE, Miguel Torcuato, 5, 150000, MEDIA
19/09/2025, 2173, Pedro Lopez DNI 39261023, DOBLE, Miguel Torcuato, 14, 252000, ALTA
19/02/2025, 2174, Lucia Sosa DNI 43586310, DOBLE, Miguel Torcuato, 2, 36000, BAJA
04/09/2025, 2175, Juan Perez DNI 17261849, SENCILLA, Miguel Torcuato, 1, 10000, BAJA
06/05/2025, 2176, Juan Fernandez DNI 34878388, SUITE, Miguel Torcuato, 3, 90000, BAJA
23/01/2025, 2177, Juan Diaz DNI 42076773, SUITE, Miguel Torcuato, 3, 90000, BAJA
20/01/2025, 2178, Diego Lopez DNI 40542142, SENCILLA, Miguel Torcuato, 9, 90000, BAJA
30/03/2025, 2179, Lucia Mendez DNI 44893120, SUITE, Miguel Torcuato, 15, 450000, ALTA
17/10/2025, 2180, Valentina Perez DNI 32688236, DOBLE, Miguel Torcuato, 1, 18000, BAJA
27/12/2025, 2181, Juan Perez DNI 22950237, SENCILLA, Miguel Torcuato, 6, 60000, BAJA
10/07/2025, 2182, Sofia Diaz DNI 40655874, SUITE, Miguel Torcuato, 3, 90000, BAJA
06/11/2025, 2183, Juan Torres DNI 35061143, SUITE, Miguel Torcuato, 7, 210000, ALTA
03/08/2025, 2184, Ana Sosa DNI 37035707, DOBLE, Miguel Torcuato, 12, 216000, ALTA
22/10/2025, 2185, Sofia Torres DNI 17244154, SENCILLA, Miguel Torcuato, 13, 130000, MEDIA
07/08/2025, 2186, Lucia Fernandez DNI 26555241, DOBLE, Miguel Torcuato, 14, 252000, ALTA
08/07/2025, 2187, Ana Gomez DNI 11256566, SUITE, Miguel Torcuato, 3, 90000, BAJA
19/06/2025, 2188, Marcos Ruiz DNI 41279413, SUITE, Miguel Torcuato, 4, 120000, MEDIA
04/04/2025, 2189, Lucia Ruiz DNI 34791464, DOBLE, Miguel Torcuato, 6, 108000, MEDIA
03/01/2025, 2190, Marcos Perez DNI 35996663, SUITE, Miguel Torcuato, 10, 300000, ALTA
09/03/2025, 2191, Marcos Gomez DNI 41178959, DOBLE, Miguel Torcuato, 10, 180000, MEDIA
12/03/2025, 2192, Pedro Diaz DNI 21175994, SENCILLA, Miguel Torcuato, 3, 30000, BAJA
05/08/2025, 2193, Diego Ruiz DNI 40992208, DOBLE, Miguel Torcuato, 13, 234000, ALTA
19/04/2025, 2194, Diego Ruiz DNI 47009238, DOBLE, Miguel Torcuato, 4, 72000, BAJA
18/03/2025, 2195, Lucia Perez DNI 41856239, SENCILLA, Miguel Torcuato, 2, 20000, BAJA
08/08/2025, 2196, Lucia Perez DNI 42916658, DOBLE, Miguel Torcuato, 10, 180000, MEDIA
09/05/2025, 2197, Valentina Perez DNI 23025299, SUITE, Miguel Torcuato, 15, 450000, ALTA
25/11/2025, 2198, Pedro Herrera DNI 20504350, SENCILLA, Miguel Torcuato, 3, 30000, BAJA
16/05/2025, 2199, Juan Ruiz DNI 48073916, SENCILLA, Miguel Torcuato, 1, 10000, BAJA
18/08/2025, 2200, Pedro Diaz DNI 23447167, SUITE, Miguel Torcuato, 13, 390000, ALTA
18/03/2025, 2201, Sofia Lopez DNI 38507942, SUITE, Miguel Torcuato, 15, 450000, ALTA
27/12/2025, 2202, Juan Gomez DNI 28373312, DOBLE, Miguel Torcuato, 9, 162000, MEDIA
21/09/2025, 2203, Sofia Perez DNI 10052619, DOBLE, Miguel Torcuato, 10, 180000, MEDIA
06/02/2025, 2204, Sofia Lopez DNI 32381509, SENCILLA, Miguel Torcuato, 11, 110000, MEDIA
18/08/2025, 2205, Pedro Torres DNI 40708608, SUITE, Miguel Torcuato, 8, 240000, ALTA
20/02/2025, 2206, Diego Sosa DNI 35713627, DOBLE, Miguel Torcuato, 7, 126000, MEDIA
03/04/2025, 2207, Lucia Sosa DNI 36226658, SUITE, Miguel Torcuato, 10, 300000, ALTA
21/04/2025, 2208, Diego Herrera DNI 48872049, SENCILLA, Miguel Torcuato, 8, 80000, BAJA
26/07/2025, 2209, Juan Lopez DNI 37177870, DOBLE, Miguel Torcuato, 6, 108000, MEDIA
02/01/2025, 2210, Marcos Mendez DNI 30962273, SENCILLA, Miguel Torcuato, 8, 80000, BAJA
26/03/2025, 2211, Laura Sosa DNI 24920188, DOBLE, Miguel Torcuato, 15, 270000, ALTA
12/05/2025, 2212, Ana Gomez DNI 26394441, SENCILLA, Miguel Torcuato, 11, 110000, MEDIA
31/03/2025, 2213, Marcos Torres DNI 11375542, SUITE, Miguel Torcuato, 2, 60000, BAJA
18/10/2025, 2214, Marcos Mendez DNI 47868205, SENCILLA, Miguel Torcuato, 2, 20000, BAJA
29/04/2025, 2215, Valentina Ruiz DNI 21424255, DOBLE, Miguel Torcuato, 13, 234000, ALTA
21/12/2025, 2216, Ana Herrera DNI 43171570, SUITE, Miguel Torcuato, 14, 420000, ALTA
19/09/2025, 2217, Lucia Perez DNI 10468017, SENCILLA, Miguel Torcuato, 14, 140000, MEDIA
03/09/2025, 2218, Sofia Fernandez DNI 10663195, SENCILLA, Miguel Torcuato, 1, 10000, BAJA
23/04/2025, 2219, Lucia Lopez DNI 11881048, DOBLE, Miguel Torcuato, 11, 198000, MEDIA
22/02/2025, 2220, Ana Torres DNI 25253253, DOBLE, Miguel Torcuato, 5, 90000, BAJA
19/09/2025, 2221, Diego Fernandez DNI 13606187, DOBLE, Miguel Torcuato, 14, 252000, ALTA
01/03/2025, 2222, Juan Gomez DNI 37860494, DOBLE, Miguel Torcuato, 13, 234000, ALTA
16/02/2025, 2223, Lucia Lopez DNI 37180343, DOBLE, Miguel Torcuato, 15, 270000, ALTA
08/12/2025, 2224, Lucia Gomez DNI 42593096, SUITE, Miguel Torcuato, 6, 180000, MEDIA
03/04/2025, 2225, Carlos Perez DNI 10594375, SENCILLA, Miguel Torcuato, 14, 140000, MEDIA
29/01/2025, 2226, Carlos Torres DNI 28805457, SUITE, Miguel Torcuato, 14, 420000, ALTA
28/06/2025, 2227, Ana Perez DNI 11762611, SENCILLA, Miguel Torcuato, 14, 140000, MEDIA
01/02/2025, 2228, Marcos Ruiz DNI 48080688, SENCILLA, Miguel Torcuato, 13, 130000, MEDIA
04/01/2025, 2229, Laura Gomez DNI 24563513, SENCILLA, Miguel Torcuato, 7, 70000, BAJA
27/01/2025, 2230, Ana Diaz DNI 45040048, SUITE, Miguel Torcuato, 2, 60000, BAJA
11/02/2025, 2231, Pedro Diaz DNI 15941949, SENCILLA, Miguel Torcuato, 7, 70000, BAJA
15/11/2025, 2232, Valentina Sosa DNI 21701236, SENCILLA, Miguel Torcuato, 9, 90000, BAJA
03/03/2025, 2233, Carlos Ruiz DNI 37531446, DOBLE, Miguel Torcuato, 1, 18000, BAJA
21/03/2025, 2234, Ana Sosa DNI 18464944, SUITE, Miguel Torcuato, 7, 210000, ALTA
14/02/2025, 2235, Marcos Mendez DNI 49636529, SUITE, Miguel Torcuato, 7, 210000, ALTA
16/03/2025, 2236, Juan Mendez DNI 15400443, DOBLE, Miguel Torcuato, 11, 198000, MEDIA
17/06/2025, 2237, Lucia Fernandez DNI 45976952, SUITE, Miguel Torcuato, 5, 150000, MEDIA
13/09/2025, 2238, Laura Lopez DNI 18099017, DOBLE, Miguel Torcuato, 6, 108000, MEDIA
18/02/2025, 2239, Juan Fernandez DNI 41198291, SUITE, Miguel Torcuato, 9, 270000, ALTA
31/05/2025, 2240, Ana Torres DNI 11969532, SUITE, Miguel Torcuato, 6, 180000, MEDIA
23/08/2025, 2241, Diego Herrera DNI 16414711, DOBLE, Miguel Torcuato, 1, 18000, BAJA
20/10/2025, 2242, Carlos Mendez DNI 11390753, SENCILLA, Miguel Torcuato, 13, 130000, MEDIA
12/04/2025, 2243, Marcos Fernandez DNI 34483077, SUITE, Miguel Torcuato, 4, 120000, MEDIA
07/08/2025, 2244, Pedro Fernandez DNI 49395393, DOBLE, Miguel Torcuato, 8, 144000, MEDIA
19/01/2025, 2245, Ana Torres DNI 37475889, DOBLE, Miguel Torcuato, 13, 234000, ALTA
16/06/2025, 2246, Pedro Gomez DNI 24492374, SUITE, Miguel Torcuato, 5, 150000, MEDIA
07/04/2025, 2247, Valentina Gomez DNI 23534732, SUITE, Miguel Torcuato, 10, 300000, ALTA
12/04/2025, 2248, Marcos Ruiz DNI 49870693, SUITE, Miguel Torcuato, 4, 120000, MEDIA
14/12/2025, 2249, Marcos Torres DNI 29328868, SENCILLA, Miguel Torcuato, 12, 120000, MEDIA
26/07/2025, 2250, Laura Perez DNI 33560882, DOBLE, Miguel Torcuato, 11, 198000, MEDIA
07/06/2025, 2251, Pedro Fernandez DNI 45317199, SUITE, Miguel Torcuato, 3, 90000, BAJA
